2021-10-04T06:07:51.418Z,24.7308,122.2169,10,4.9,"47 km E of Yilan, Taiwan",m
2021-10-04T06:34:14.581Z,-29.9938,-177.5211,31.78,5.7,"Kermadec Islands, New Zealand",m
2021-10-04T13:06:21.280Z,-60.2124,-25.0853,10,4.9,South Sandwich Islands region,m
2021-10-04T14:28:45.495Z,-3.6619,129.5653,22.06,5.2,"80 km ESE of Amahai, Indonesia",m
2021-10-04T14:51:45.585Z,-60.3668,-27.1059,10,5.1,South Sandwich Islands region,m
2021-10-04T17:31:00.019Z,-60.3758,-27.5183,10,4.9,South Sandwich Islands region,m
2021-10-04T18:32:02.805Z,-23.6304,179.4125,528.22,4.9,south of the Fiji Islands,m
2021-10-04T19:06:41.058Z,-5.439,142.2759,52.28,4.9,"86 km WNW of Tari, Papua New Guinea",m
2021-10-04T19:36:33.684Z,-17.5908,-174.0769,98.29,4.8,"117 km N of Neiafu, Tonga",m
2021-10-05T01:12:16.136Z,13.7792,93.6855,60.3,5,"252 km NNE of Bamboo Flat, India",m
2021-10-05T07:59:57.586Z,36.865,66.6796,10,5.1,"21 km SSW of QarchGak, Afghanistan",m
2021-10-05T09:07:33.411Z,-59.095,-23.0103,10,5,South Sandwich Islands region,m
2021-10-05T17:30:27.543Z,25.7446,125.0424,8.38,5.4,"107 km NNW of Hirara, Japan",m
2021-10-05T17:46:02.054Z,40.076,142.2531,44.77,5.7,"54 km NNE of Miyako, Japan",m
2021-10-05T18:03:42.778Z,25.6386,125.0477,10,5.1,"95 km NNW of Hirara, Japan",m
2021-10-05T19:37:48.025Z,6.8571,-73.0503,145.95,4.8,"14 km NW of Cepit, Colombia",m
2021-10-06T08:12:55.045Z,31.2593,131.471,35,5.4,"33 km SE of Kushima, Japan",m
2021-10-06T15:54:20.612Z,-15.4232,-173.2747,35,5.4,"81 km NE of Hihifo, Tonga",m
2021-10-06T19:57:33.511Z,43.6811,16.8584,10,4.9,"10 km E of Otok, Croatia",m
2021-10-06T22:01:08.730Z,30.2198,68.015,9,5.9,"15 km NNE of Harnai, Pakistan",m
2021-10-06T23:38:09.136Z,-25.228,-64.5252,10,5,"21 km NE of El Galpn, Argentina",m
2021-10-07T04:18:42.590Z,24.5198,122.5545,81.13,4.9,"45 km W of Yonakuni, Japan",m
2021-10-07T05:13:01.266Z,-8.2851,119.5236,186.86,4.9,"33 km N of Komodo, Indonesia",m
2021-10-07T13:41:24.549Z,35.5771,140.0698,62,5.9,"4 km WSW of Chiba, Japan",m
2021-10-07T17:56:15.106Z,-55.7393,-26.4704,10,5.3,South Sandwich Islands region,m
2021-10-07T18:14:54.091Z,13.9368,120.6862,160.98,5.3,"2 km ESE of Bungahan, Philippines",m
2021-10-07T18:28:03.629Z,22.3074,94.7616,110,5.5,"44 km WNW of Monywa, Myanmar",m
2021-10-07T19:17:39.981Z,-21.8233,169.1902,10,4.8,"138 km ESE of Tadine, New Caledonia",m
2021-10-07T20:13:01.195Z,-58.7608,158.6063,10,5.9,Macquarie Island region,m
2021-10-08T00:09:46.280Z,-32.0527,55.736,10,5,Southwest Indian Ridge,m
2021-10-08T00:22:44.726Z,-58.3949,158.4445,10,4.8,Macquarie Island region,m
2021-10-08T03:12:13.099Z,-58.0767,-23.3588,10,5,South Sandwich Islands region,m
2021-10-08T10:04:53.941Z,4.4084,95.4031,64.27,5.2,"85 km WNW of Meulaboh, Indonesia",m
2021-10-08T13:24:14.677Z,-6.076,151.7018,10,4.9,"182 km ESE of Kimbe, Papua New Guinea",m
2021-10-08T15:53:38.307Z,-19.4451,-173.4776,10,4.8,"100 km ENE of Pangai, Tonga",m
2021-10-08T16:47:26.868Z,-35.4511,141.0099,10,4.9,"93 km NE of Keith, Australia",m
2021-10-08T18:28:23.970Z,18.0105,-65.3871,11,4.8,"13 km SE of Esperanza, Puerto Rico",m
2021-10-08T21:39:26.399Z,-56.5862,-25.6598,20.44,5.1,South Sandwich Islands region,m
2021-10-08T21:53:42.819Z,-56.5511,-25.3636,10,4.8,South Sandwich Islands region,m
2021-10-08T22:55:34.735Z,-60.1841,-24.3033,10,5,South Sandwich Islands region,m
2021-10-08T23:16:26.479Z,32.3379,49.7282,10,5.1,"59 km NE of Masjed Soleym, Iran",m
2021-10-09T04:47:50.386Z,-15.5869,-71.8603,24.47,5.6,"6 km WNW of Madrigal, Peru",m
2021-10-09T05:31:59.595Z,40.0765,142.2057,52.66,5,"52 km NNE of Miyako, Japan",m
2021-10-09T05:36:57.202Z,30.3574,94.8297,34.56,4.9,"207 km NNE of Shi Yomi, India",m
2021-10-09T06:05:32.131Z,32.3765,49.7486,10,4.9,"64 km NE of Masjed Soleym, Iran",m
2021-10-09T06:54:12.456Z,63.3751,158.3556,10,4.8,"161 km NE of Omsukchan, Russia",m
2021-10-09T07:19:27.705Z,50.0403,149.8981,447.83,5.6,Sea of Okhotsk,m
2021-10-09T10:39:14.075Z,-4.4957,153.4247,63.15,5.1,"129 km E of Kokopo, Papua New Guinea",m
2021-10-09T10:58:30.852Z,-21.1717,174.5286,520.42,6.9,Vanuatu region,m
2021-10-09T20:01:50.856Z,-4.6488,153.0318,52.86,5.5,"91 km ESE of Kokopo, Papua New Guinea",m
2021-10-09T23:33:46.390Z,-21.1246,-68.884,115.42,4.8,"147 km N of Calama, Chile",m
2021-10-10T00:20:41.030Z,-11.7378,-71.7073,13.45,5.7,127 km NNW of Salvaci Peru,m
2021-10-10T05:25:38.776Z,-56.6922,-27.3418,147.93,4.9,South Sandwich Islands region,m
2021-10-10T14:16:15.940Z,42.3455,143.0753,61.69,4.9,"58 km E of Shizunai-furukawach, Japan",m
2021-10-10T16:09:35.266Z,57.8576,-32.7378,10,4.8,Reykjanes Ridge,m
2021-10-10T21:48:36.560Z,18.82033333,-155.5271667,35.06,6.21,"Hawaii region, Hawaii",m
2021-10-10T23:27:58.604Z,-33.6106,-177.9568,10,4.8,south of the Kermadec Islands,m
2021-10-11T03:09:54.480Z,-9.0318,122.385,97.92,4.8,"49 km SSE of Maumere, Indonesia",m
2021-10-11T09:10:24.682Z,56.2584,-156.5532,69.1,6.9,"114 km E of Chignik, Alaska",m
2021-10-11T12:34:32.285Z,0.8215,126.1888,9.19,5.7,"133 km W of Ternate, Indonesia",m
2021-10-11T15:27:49.060Z,0.8919,126.1283,10,5,"140 km W of Ternate, Indonesia",m
2021-10-11T17:30:29.810Z,0.8374,126.132,24.97,5,"139 km W of Ternate, Indonesia",m
2021-10-11T18:25:48.424Z,51.4765,-174.4297,35,4.9,"81 km S of Atka, Alaska",m
2021-10-11T23:10:00.514Z,48.2986,153.7482,70,5.8,Kuril Islands,m
2021-10-11T23:30:21.616Z,6.114,126.9141,69.81,5,"85 km ESE of Pondaguitan, Philippines",m
2021-10-12T00:29:58.728Z,-59.7882,-26.8479,35,4.9,South Sandwich Islands region,m
2021-10-12T01:55:00.780Z,-40.186,173.4811,168.7,4.8,"87 km SSW of Opunake, New Zealand",m
2021-10-12T03:19:00.492Z,30.0983,142.8481,10,5.2,"Izu Islands, Japan region",m
2021-10-12T03:35:43.515Z,25.4799,126.497,29.15,4.9,"137 km WSW of Itoman, Japan",m
2021-10-12T04:00:04.927Z,-15.6921,-72.0003,10,4.9,"12 km ENE of Huambo, Peru",m
2021-10-12T04:51:47.693Z,6.8143,-72.9894,151.13,5,"6 km NNW of Cepit, Colombia",m
2021-10-12T06:04:10.975Z,-21.3751,174.4609,517.61,5.4,Vanuatu region,m
2021-10-12T09:24:03.839Z,35.1931,26.2556,10,6.4,"0 km SSE of Palekastro, Greece",m
2021-10-12T18:44:06.972Z,-5.7399,149.0643,127.87,4.9,"74 km NW of Kandrian, Papua New Guinea",m
2021-10-13T05:00:43.652Z,-9.0481,110.9264,47.95,4.9,"130 km S of Jatiroto, Indonesia",m
2021-10-13T05:24:46.598Z,-58.8254,-25.1759,35,4.8,South Sandwich Islands region,m
2021-10-13T06:25:38.423Z,-4.1282,152.9102,10,5,"75 km ENE of Kokopo, Papua New Guinea",m
2021-10-13T07:55:30.094Z,-50.3132,-72.2429,17.01,5.4,"3 km NE of El Calafate, Argentina",m
2021-10-13T09:49:09.863Z,-58.6253,-25.1354,35,4.9,South Sandwich Islands region,m
2021-10-13T09:54:28.907Z,-4.2422,152.9254,10,4.9,"73 km E of Kokopo, Papua New Guinea",m
